domain,note
experienceday.rmit.edu.vn,yes
alumninetwork.rmit.edu.vn,yes
omeka.rmit.edu.vn,yes
chame.rmit.edu.vn,yes
teachertalks.rmit.edu.vn,yes
rmitlibraryvn.rmit.edu.vn,yes
event.rmit.edu.vn,yes
oes.rmit.edu.vn,yes
rmitenglishevent.rmit.edu.vn,yes
pe.rmit.edu.vn,yes
learninglab.rmit.edu.vn,yes
mytimetable.rmit.edu.vn,yes
studentlab1.rmit.edu.vn,yes
findaresearcher.rmit.edu.vn,yes
apps.rmit.edu.vn,yes
infosession.rmit.edu.vn,yes
vietstock.vn,yes
auschamvn.org,yes
ssl-prd.vpn.rmit.edu.vn,no
sbcsprdap81.rmit.edu.vn,no
typographyvn.rmit.edu.vn,yes
sgs-wl-mkapp01.rmit.edu.vn,no
libtutorials.rmit.edu.vn,yes
sglprdrevrprx01.rmit.edu.vn,no
master-of-global-trade.rmit.edu.vn,no
sglprdalumweb1.rmit.edu.vn,no
ns1.rmit.edu.vn,no
ocs-ng.rmit.edu.vn,no
pnt-wl-drweb5.rmit.edu.vn,no
dns2.rmit.edu.vn,no
ns2.rmit.edu.vn,no
rmitlibraryvn.rmit.edu.vn,yes
ave.rmit.edu.vn,no
vpn.rmit.edu.vn,no
vpn2.rmit.edu.vn,no
sgs-wl-mekong2.rmit.edu.vn,no
sgs-aw-spydus01.rmit.edu.vn,no
sgs-aw-spydus01.rmit.edu.vn,no
drwprdhrapp01.rmit.edu.vn,no
sgs-wl-omeka.rmit.edu.vn,no
password.rmit.edu.vn,no
sgs-wl-sleapp1.rmit.edu.vn,no
pnt-wl-wcpsvc.rmit.edu.vn,no
pnt-wl-drweb3.rmit.edu.vn,no
english.rmit.edu.vn,no
email.rmit.edu.vn,no
appsdr.rmit.edu.vn,yes
sgs-wl-dls.rmit.edu.vn,no
sglprdstudlab01.rmit.edu.vn,no
democlass.rmit.edu.vn,no
code-rmit.edu.vn,yes
results.seup.rmit.edu.vn,no
sglprdrevrprx01.rmit.edu.vn,no
design.rmit.edu.vn,no
sbcsprdap85.rmit.edu.vn,no
blackboard.rmit.edu.vn,yes
careers.rmit.edu.vn,yes
crmdr.rmit.edu.vn,no
emedia.rmit.edu.vn,yes
emsdr.rmit.edu.vn,no
etal.rmit.edu.vn,yes
helpdesk.rmit.edu.vn,yes
hress.rmit.edu.vn,no
hressdr.rmit.edu.vn,no
library.rmit.edu.vn,yes
lms.rmit.edu.vn,yes
lyncdiscover.rmit.edu.vn,yes
 minio.rmit.edu.vn,no
myperformance.rmit.edu.vn,no
oesdr.rmit.edu.vn,no
password-assistance.rmit.edu.vn,yes
pathways.rmit.edu.vn,no
results-dev.seup.rmit.edu.vn,no
results-stg.seup.rmit.edu.vn,no
sas.rmit.edu.vn,yes
sgs-ml-smtp.rmit.edu.vn,no
sip.rmit.edu.vn,yes
srms.rmit.edu.vn,no
srms.dev.rmit.edu.vn,no
srms.staging.rmit.edu.vn,no
ssl-npe.vpn.rmit.edu.vn,no
staffdr.rmit.edu.vn,no
meet.rmit.edu.vn,no
api-staging.virtualcase.rmit.edu.vn,no
apps.itsdev.rmit.edu.vn,no
apps.staging.rmit.edu.vn,no
burpsuite.its.rmit.edu.vn,no
careerhub.rmit.edu.vn,no
clearpass-test.rmit.edu.vn,no
cnc9hn77d8.rmit.edu.vn,no
cnf2hn70nb.rmit.edu.vn,no
commvault.rmit.edu.vn,no
crm.rmit.edu.vn,no
 crm.itsdev.rmit.edu.vn,no
dad-gw-svc1.rmit.edu.vn,no
data.internships.rmit.edu.vn,no
democlass.staging.rmit.edu.vn,no
dialin.rmit.edu.vn,no
dialin.prov-test.gapps.rmit.edu.vn,no
digitalsignage.rmit.edu.vn,no
